;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;105;;;17;0;63;0;28;0;95;0;0;90;34;327;;; € 16,00 ; € -   ; € 49,00 ; € -   ; € 16,00 ; € -   ; € 6,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
2;117;;;16;0;0;17;0;89;0;11;3;0;0;136;;; € 19,00 ; € -   ; € -   ; € 5,00 ; € -   ; € 103,00 ; € -   ; € 18,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
3;72;;;30;31;0;0;25;63;74;55;16;0;35;329;;; € 18,00 ; € 9,00 ; € -   ; € -   ; € 15,00 ; € 167,00 ; € 14,00 ; € 15,00 ; € 16,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
4;65;;;4;0;24;0;44;92;0;58;0;0;0;222;;; € 18,00 ; € -   ; € 49,00 ; € -   ; € 19,00 ; € 101,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
5;50;;;18;0;0;2;0;0;43;0;17;66;0;146;;; € 19,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 30,00 ; € -   ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
6;71;;;22;39;0;0;34;0;43;31;21;0;0;190;;; € 19,00 ; € 5,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 19,00 ; € 17,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
7;32;;;4;0;0;13;0;62;0;0;26;102;0;207;;; € 20,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 168,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
8;52;;;5;0;85;3;47;90;95;0;27;36;47;435;;; € 18,00 ; € -   ; € 15,00 ; € 13,00 ; € 18,00 ; € 192,00 ; € 17,00 ; € -   ; € 17,00 ; € 19,00 ; € 19,00 ;;;;;;;;;;;;;;
9;88;;;0;0;0;0;32;0;0;0;25;0;0;57;;; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
10;47;;;18;0;0;17;0;35;0;0;7;0;27;104;;; € 19,00 ; € -   ; € -   ; € 5,00 ; € -   ; € 122,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
11;150;;;3;0;85;17;0;43;0;0;0;0;0;148;;; € 17,00 ; € -   ; € 22,00 ; € 8,00 ; € -   ; € 118,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
12;48;;;18;0;91;0;0;84;75;0;8;0;0;276;;; € 19,00 ; € -   ; € 50,00 ; € -   ; € -   ; € 146,00 ; € 7,00 ; € -   ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
13;66;;;26;0;6;12;30;27;59;25;0;0;1;186;;; € 19,00 ; € -   ; € 28,00 ; € 11,00 ; € 16,00 ; € 147,00 ; € 28,00 ; € 16,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
14;122;;;26;0;0;0;0;0;47;13;0;0;0;86;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 5,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
15;78;;;2;42;44;11;14;0;22;0;0;68;29;232;;; € 18,00 ; € 8,00 ; € 19,00 ; € 15,00 ; € 19,00 ; € -   ; € 26,00 ; € -   ; € -   ; € 20,00 ; € 20,00 ;;;;;;;;;;;;;;
16;35;;;6;18;59;0;50;40;0;0;0;47;0;220;;; € 17,00 ; € 8,00 ; € 41,00 ; € -   ; € 15,00 ; € 116,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
17;44;;;10;0;13;0;0;77;0;0;0;0;0;100;;; € 20,00 ; € -   ; € 42,00 ; € -   ; € -   ; € 136,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
18;125;;;28;0;12;3;0;87;87;0;0;0;25;242;;; € 17,00 ; € -   ; € 29,00 ; € 9,00 ; € -   ; € 101,00 ; € 22,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
19;82;;;16;40;0;2;0;0;0;19;25;0;21;123;;; € 15,00 ; € 8,00 ; € -   ; € 13,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 20,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
20;142;;;20;3;86;0;0;0;0;0;0;0;0;109;;; € 15,00 ; € 10,00 ; € 24,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
21;91;;;22;36;90;4;0;0;0;32;0;0;0;184;;; € 18,00 ; € 6,00 ; € 17,00 ; € 6,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
22;96;;;6;48;0;2;19;8;52;14;8;109;0;266;;; € 18,00 ; € 7,00 ; € -   ; € 15,00 ; € 19,00 ; € 130,00 ; € 28,00 ; € 16,00 ; € 20,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
23;51;;;28;15;0;19;4;0;86;28;0;0;20;200;;; € 16,00 ; € 9,00 ; € -   ; € 5,00 ; € 20,00 ; € -   ; € 28,00 ; € 20,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
24;57;;;6;0;0;0;0;0;0;0;14;14;8;42;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ; € 15,00 ;;;;;;;;;;;;;;
25;38;;;18;0;0;0;38;0;0;6;6;35;46;149;;; € 15,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € 18,00 ; € 17,00 ; € 17,00 ; € 17,00 ;;;;;;;;;;;;;;
26;35;;;2;10;0;0;0;0;56;0;0;58;2;128;;; € 19,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € 7,00 ; € -   ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
